package	files	imports	sample_files
@opentelemetry/semantic-conventions	2	2	services/analytics/firstPartyEventLogger.ts, utils/telemetry/instrumentation.ts
dns	2	2	utils/proxy.ts, utils/hooks/ssrfGuard.ts
events	2	2	ink/events/emitter.ts, utils/abortController.ts
fflate	2	2	utils/plugins/zipCache.ts, utils/dxt/zip.ts
https-proxy-agent	2	2	utils/telemetry/instrumentation.ts, utils/proxy.ts
p-map	2	2	services/mcp/client.ts, cli/handlers/mcp.tsx
signal-exit	2	2	ink/ink.tsx, utils/gracefulShutdown.ts
vscode-languageserver-types	2	2	tools/LSPTool/formatters.ts, tools/LSPTool/LSPTool.ts
xss	2	2	services/mcp/auth.ts, services/mcp/xaaIdpLogin.ts
@aws-sdk/client-bedrock	1	3	utils/model/bedrock.ts
cli-highlight	1	3	utils/cliHighlight.ts
proper-lockfile	1	3	utils/lockfile.ts
@ant/computer-use-input	1	2	utils/computerUse/inputLoader.ts
@ant/computer-use-swift	1	2	utils/computerUse/swiftLoader.ts
@anthropic-ai/sandbox-runtime	1	2	utils/sandbox/sandbox-adapter.ts
@opentelemetry/exporter-logs-otlp-http	1	2	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-trace-otlp-http	1	2	utils/telemetry/instrumentation.ts
@smithy/core	1	2	utils/model/bedrock.ts
audio-capture-napi	1	2	services/voice.ts
bun:ffi	1	2	upstreamproxy/upstreamproxy.ts
https	1	2	utils/mtls.ts
modifiers-napi	1	2	utils/modifiers.ts
perf_hooks	1	2	utils/profilerBase.ts
turndown	1	2	tools/WebFetchTool/utils.ts
yaml	1	2	utils/yaml.ts
@anthropic-ai/bedrock-sdk	1	1	services/api/client.ts
@anthropic-ai/claude-agent-sdk	1	1	cli/print.ts
@anthropic-ai/foundry-sdk	1	1	services/api/client.ts
@anthropic-ai/vertex-sdk	1	1	services/api/client.ts
@aws-sdk/client-sts	1	1	utils/aws.ts
@aws-sdk/credential-provider-node	1	1	utils/proxy.ts
@aws-sdk/credential-providers	1	1	utils/aws.ts
@azure/identity	1	1	services/api/client.ts
@growthbook/growthbook	1	1	services/analytics/growthbook.ts
@opentelemetry/exporter-logs-otlp-grpc	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-logs-otlp-proto	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-metrics-otlp-grpc	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-metrics-otlp-http	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-metrics-otlp-proto	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-prometheus	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-trace-otlp-grpc	1	1	utils/telemetry/instrumentation.ts
@opentelemetry/exporter-trace-otlp-proto	1	1	utils/telemetry/instrumentation.ts
ajv	1	1	tools/SyntheticOutputTool/SyntheticOutputTool.ts
asciichart	1	1	components/Stats.tsx
audio-capture.node	1	1	hooks/useVoice.ts
auto-bind	1	1	ink/ink.tsx
bidi-js	1	1	ink/bidi.ts
cacache	1	1	utils/cleanup.ts
cli-boxes	1	1	ink/render-border.ts
code-excerpt	1	1	ink/components/ErrorOverview.tsx
color-diff-napi	1	1	components/StructuredDiff/colorDiff.ts
emoji-regex	1	1	ink/stringWidth.ts
env-paths	1	1	utils/cachePaths.ts
get-east-asian-width	1	1	ink/stringWidth.ts
indent-string	1	1	ink/render-node-to-output.ts
ink	1	1	ink/hooks/use-input.ts
inspector	1	1	main.tsx
jsonc-parser	1	1	utils/json.ts
node:net	1	1	upstreamproxy/relay.ts
node:os	1	1	commands/install.tsx
node:path	1	1	commands/install.tsx
picomatch	1	1	utils/claudemd.ts
plist	1	1	services/notifier.ts
stack-utils	1	1	ink/components/ErrorOverview.tsx
supports-hyperlinks	1	1	ink/supports-hyperlinks.ts
tree-kill	1	1	utils/ShellCommand.ts
tty	1	1	utils/renderOptions.ts
url-handler-napi	1	1	utils/deepLink/protocolHandler.ts
v8	1	1	utils/heapDumpService.ts
vm	1	1	state/AppStateStore.ts
vscode-jsonrpc	1	1	services/lsp/LSPClient.ts
wrap-ansi	1	1	ink/wrapAnsi.ts
zlib	1	1	utils/ansiToPng.ts
